,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,percentage,change,Sentiment_1,Sentiment_total,Sentiment_component
1468,2018/1/12 09:00,ETHUSD,1191.51,1191.51,1169.91,1190.38,2468.93,2912967.01,-0.000948376,-1,1,0.921954661,0.7485
1469,2018/1/12 10:00,ETHUSD,1190.38,1220,1184.16,1210,2619.83,3166391.63,0.016482132,1,-1,-0.097761718,1.5142
1470,2018/1/12 11:00,ETHUSD,1210,1236,1205,1225.91,2425.26,2960297.24,0.01314876,1,1,1.27379733,-0.1027
1471,2018/1/12 12:00,ETHUSD,1225.91,1277.77,1215.02,1273.85,2663.83,3333068.19,0.039105644,1,1,0.796109824,2.5744
1472,2018/1/12 13:00,ETHUSD,1273.85,1288.34,1256,1264.13,2504.41,3193164.18,-0.007630412,-1,1,0.677728928,1.2169
1473,2018/1/12 14:00,ETHUSD,1264.13,1281.04,1259.31,1270.99,2948.25,3727845.92,0.005426657,1,0,0,0.9694
1474,2018/1/12 15:00,ETHUSD,1270.99,1273.97,1229.02,1238.28,4068.7,5069434.13,-0.025735844,-1,1,0.536259425,0
1475,2018/1/12 16:00,ETHUSD,1238.28,1256.48,1217.91,1233,3767.88,4650976.11,-0.004263979,-1,1,0.452285079,0.7096
1476,2018/1/12 17:00,ETHUSD,1233,1249.7,1225,1242.89,1918.07,2363442.82,0.008021087,1,1,0.412506923,0.5719
1477,2018/1/12 18:00,ETHUSD,1242.89,1243.03,1225,1232.09,1494.63,1841965.74,-0.008689425,-1,0,0,0.5106
1478,2018/1/12 19:00,ETHUSD,1232.09,1265.68,1226.15,1259.19,1543.79,1922206.93,0.021995146,1,1,0.575657852,0
1479,2018/1/12 20:00,ETHUSD,1259.19,1267.98,1255,1260,683.66,861936.13,0.000643271,1,0,0,0.7783
1480,2018/1/12 21:00,ETHUSD,1260,1260.28,1241,1258.53,779.3,976373.29,-0.001166667,-1,1,1.296260238,0
1481,2018/1/12 22:00,ETHUSD,1258.53,1258.53,1235.11,1235.95,1875.17,2329140.47,-0.017941567,-1,1,0.120446153,2.6556
1482,2018/1/12 23:00,ETHUSD,1235.95,1262.68,1234,1258.68,586.2,733034.48,0.018390712,1,1,1.10233867,0.128
1483,2018/1/13 00:00,ETHUSD,1258.68,1284.97,1256,1281.03,960.93,1221542.33,0.017756697,1,-1,-0.52520179,2.0112
1484,2018/1/13 01:00,ETHUSD,1281.03,1289.65,1269,1273.23,856.66,1096355.84,-0.00608885,-1,0,0,-0.6908
1485,2018/1/13 02:00,ETHUSD,1273.23,1290,1269.81,1289.4,499.35,640474.4,0.012699984,1,-0.861942016,-0.169347777,0
1486,2018/1/13 03:00,ETHUSD,1289.4,1293.99,1269,1289.97,702.82,899976.6,0.000442066,1,0.727440147,0.827896349,-0.1873
1487,2018/1/13 04:00,ETHUSD,1289.97,1294.73,1280.02,1292.86,274.09,353340.21,0.002240362,1,1,0.485446275,1.6985
1488,2018/1/13 05:00,ETHUSD,1292.86,1319.98,1286.85,1311.26,872.93,1140464.26,0.014232013,1,1,0.592829484,0.6249
1489,2018/1/13 06:00,ETHUSD,1311.26,1315,1294,1315,562.23,734737.68,0.002852218,1,1,0.998976098,0.8091
1490,2018/1/13 07:00,ETHUSD,1315,1341.39,1302.52,1339,3019.85,4009920.87,0.018250951,1,1,0.530451765,1.7155
1491,2018/1/13 08:00,ETHUSD,1339,1340.99,1317.53,1337,1843.13,2456847.48,-0.001493652,-1,0.410368787,0.26306343,0.6997
1492,2018/1/13 09:00,ETHUSD,1337,1337,1315.02,1330.03,2778.69,3684294.92,-0.005213164,-1,-1,-0.443017764,0.3839
1493,2018/1/13 10:00,ETHUSD,1330.03,1335.9,1326.85,1334.99,1077.85,1434767.74,0.003729239,1,1,0.485446275,-0.5574
1494,2018/1/13 11:00,ETHUSD,1334.99,1335.9,1327.05,1335.9,1850.17,2465345.78,0.000681653,1,1,0.46115207,0.6249
1495,2018/1/13 12:00,ETHUSD,1335.9,1359.77,1322.94,1353.94,2893.42,3888052.57,0.013504005,1,0,0,0.5859
1496,2018/1/13 13:00,ETHUSD,1353.94,1360,1345.28,1357,3146.75,4268035.71,0.002260071,1,0,0,0
1497,2018/1/13 14:00,ETHUSD,1357,1362.43,1335,1351.85,1583.76,2135606.04,-0.003795136,-1,1,0.546327894,0
1498,2018/1/13 15:00,ETHUSD,1351.85,1359.41,1340,1350,1461.65,1971860.11,-0.001368495,-1,1,0.351712652,0.7269
1499,2018/1/13 16:00,ETHUSD,1350,1365,1348.28,1364.91,2655.92,3598553.25,0.011044444,1,0,0,0.4215
1500,2018/1/13 17:00,ETHUSD,1364.91,1393,1363.63,1393,2872.35,3959869.14,0.020580112,1,-1,-0.308366664,0
1501,2018/1/13 18:00,ETHUSD,1393,1417.96,1390,1414,3055.01,4288605.64,0.015075377,1,1,0.60273001,-0.3612
1502,2018/1/13 19:00,ETHUSD,1414,1417.96,1370,1385,1907.15,2659930.22,-0.020509194,-1,0,0,0.8271
1503,2018/1/13 20:00,ETHUSD,1385,1420,1376.68,1419.99,1685.86,2368789.35,0.025263538,1,1,0.618154202,0
1504,2018/1/13 21:00,ETHUSD,1419.99,1420,1390.66,1395.79,2326.11,3268984.71,-0.017042374,-1,1,0.839582459,0.8555
1505,2018/1/13 22:00,ETHUSD,1395.79,1404.19,1381.9,1386.1,1216.62,1695299.99,-0.006942305,-1,0,0,1.3154
1506,2018/1/13 23:00,ETHUSD,1386.1,1390.9,1359,1384.78,1700.12,2336070.44,-0.000952312,-1,1,0.860820304,0
1507,2018/1/14 00:00,ETHUSD,1384.78,1384.78,1359,1359,990.86,1354249.86,-0.018616676,-1,-1,-0.522002924,1.3651
1508,2018/1/14 01:00,ETHUSD,1359,1389,1356,1388,656.38,901824.69,0.02133922,1,1,0.744220451,-0.6854
1509,2018/1/14 02:00,ETHUSD,1388,1388,1354.97,1376.7,795.22,1090922.01,-0.00814121,-1,1,0.499926443,1.1048
1510,2018/1/14 03:00,ETHUSD,1376.7,1387,1361.79,1382,798.12,1099044.75,0.003849786,1,1,0.499926443,0.6486
1511,2018/1/14 04:00,ETHUSD,1382,1383.7,1330,1346.4,1808.63,2438494.18,-0.025759768,-1,0.405020824,0.380073358,0.6486
1512,2018/1/14 05:00,ETHUSD,1346.4,1364.04,1313.55,1337,2870.68,3821439,-0.006981581,-1,-0.10260747,-0.085222646,0.7002
1513,2018/1/14 06:00,ETHUSD,1337,1367.53,1336.04,1353,1019.29,1374521.88,0.011967091,1,-0.218186898,-0.1825673,-0.1456
1514,2018/1/14 07:00,ETHUSD,1353,1353.5,1334.2,1341.37,722.73,970374.1,-0.008595713,-1,1,0.364920853,-0.3124
1515,2018/1/14 08:00,ETHUSD,1341.37,1359.5,1338.5,1348.06,834.22,1126645.42,0.004987438,1,0.625853544,0.732356173,0.4404
1516,2018/1/14 09:00,ETHUSD,1348.06,1348.85,1316,1336,1427.98,1896385.1,-0.008946189,-1,1,0.878007179,1.5948
1517,2018/1/14 10:00,ETHUSD,1336,1353.38,1330.76,1344.04,848.48,1139763.66,0.006017964,1,-1,-0.323386997,1.4061
1518,2018/1/14 11:00,ETHUSD,1344.04,1349.17,1314.04,1320.49,677.69,899656.75,-0.0175218,-1,1,0.60070289,-0.3818
1519,2018/1/14 12:00,ETHUSD,1320.49,1331.76,1284.2,1292.14,1392.59,1812733.42,-0.021469303,-1,1,0.097761718,0.8234
1520,2018/1/14 13:00,ETHUSD,1292.14,1348.24,1290.99,1337.45,2626.43,3466520.84,0.03506586,1,1,1.311274435,0.1027
1521,2018/1/14 14:00,ETHUSD,1337.45,1339.94,1314.98,1319.97,656.77,870218.07,-0.013069647,-1,0,0,2.7109
1522,2018/1/14 15:00,ETHUSD,1319.97,1320,1265,1290.07,3731.83,4796986.1,-0.02265203,-1,1,0.464991087,0
1523,2018/1/14 16:00,ETHUSD,1290.07,1307.64,1272,1304.97,2440.28,3133646.05,0.011549761,1,0,0,0.592
1524,2018/1/14 17:00,ETHUSD,1304.97,1323,1285.7,1320.75,1524.89,1996320.93,0.012092232,1,0.795105096,0.775727042,0
1525,2018/1/14 18:00,ETHUSD,1320.75,1330,1306.8,1327.88,2197.85,2910222.92,0.005398448,1,1,0.446926898,1.3807
1526,2018/1/14 19:00,ETHUSD,1327.88,1340,1310.37,1312.94,1270.12,1687519.8,-0.011251017,-1,1,0.364920853,0.5635
